name,link,color,total_games,eco,last_played,performance,avg_player,p_wins,p_draws,p_loses,moves
"Sicilian Defense, French Variation, Open","https://old.chesstempo.com/gamedb/opening/2093","black",673,"B40","09-10-2020","2052","2089",0.37,0.213,0.418,"1.e4 c5 2.Cf3 e6 3.d4 cxd4"
"Sicilian Defense, Gaw-Paw Variation","https://old.chesstempo.com/gamedb/opening/2094","black",244,"B40","22-02-2020","2117","2156",0.357,0.262,0.381,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 Cf6 5.Cc3 Db6"
"Sicilian Defense, General","https://old.chesstempo.com/gamedb/opening/2095","black",6603,"B20-99","28-03-2021","2175","2175",0.415,0.248,0.337,"1.e4 c5"
"Sicilian Defense, Godiva Variation","https://old.chesstempo.com/gamedb/opening/2096","black",5032,"B32","20-03-2021","2276","2316",0.427,0.256,0.317,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 Db6"
"Sicilian Defense, Hyperaccelerated Dragon","https://old.chesstempo.com/gamedb/opening/2100","black",5332,"B27","27-03-2021","2133","2137",0.357,0.267,0.376,"1.e4 c5 2.Cf3 g6"
"Sicilian Defense, Hyperaccelerated Pterodactyl","https://old.chesstempo.com/gamedb/opening/2102","black",2474,"B27","16-03-2021","2161","2204",0.362,0.274,0.364,"1.e4 c5 2.Cf3 g6 3.d4 Ag7"
"Sicilian Defense, Hyperaccelerated Pterodactyl, Exchange Variation","https://old.chesstempo.com/gamedb/opening/2103","black",94,"B27","27-01-2020","2323","2310",0.362,0.309,0.33,"1.e4 c5 2.Cf3 g6 3.d4 Ag7 4.dxc5 Da5+ 5.Cc3 Axc3+ 6.bxc3 Dxc3+"
"Sicilian Defense, Kalashnikov Variation","https://old.chesstempo.com/gamedb/opening/2104","black",8242,"B32","11-03-2021","2213","2250",0.33,0.307,0.363,"1.e4 c5 2.Cf3 Cc6 3.d4 cxd4 4.Cxd4 e5 5.Cb5 d6"
"Sicilian Defense, Kan Variation","https://old.chesstempo.com/gamedb/opening/2105","black",1453,"B41","25-05-2010","2255","2268",0.435,0.261,0.304,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 a6"
"Sicilian Defense, Kan Variation, Maroczy Bind, Bronstein Variation","https://old.chesstempo.com/gamedb/opening/2107","black",587,"B41","09-03-2021","2259","2289",0.376,0.307,0.317,"1.e4 c5 2.Cf3 e6 3.d4 cxd4 4.Cxd4 a6 5.c4 Cf6 6.Cc3 Ab4 7.Ad3 Cc6"
