name,link,color,total_games,eco,last_played,performance,avg_player,p_wins,p_draws,p_loses,moves
"Nimzo-Indian Defense, Classical Variation, Noa Variation","https://old.chesstempo.com/gamedb/opening/1350","white",881,"E36","16-03-2021","2371","2340",0.327,0.38,0.293,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Dc2 d5 5.a3"
"Nimzo-Indian Defense, Classical Variation, Noa Variation","https://old.chesstempo.com/gamedb/opening/1349","white",730,"E37","17-12-2019","2465","2398",0.367,0.437,0.196,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Dc2 d5 5.a3 Axc3+ 6.Dxc3 Ce4 7.Dc2"
"Nimzo-Indian Defense, Fischer Variation","https://old.chesstempo.com/gamedb/opening/1355","white",2468,"E44","03-02-2021","2356","2317",0.401,0.314,0.284,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 b6 5.Ce2"
"Nimzo-Indian Defense, Huebner Variation, Rubinstein Variation","https://old.chesstempo.com/gamedb/opening/1359","white",2313,"E42","11-02-2021","2399","2358",0.395,0.348,0.258,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 c5 5.Ce2"
"Nimzo-Indian Defense, Huebner Variation, Rubinstein Variation, Main Line","https://old.chesstempo.com/gamedb/opening/1360","white",794,"E42","09-03-2020","2417","2379",0.356,0.368,0.276,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 c5 5.Ce2 cxd4 6.exd4 O-O 7.a3"
"Nimzo-Indian Defense, Huebner Variation, Rubinstein Variation, Sherbakov Attack","https://old.chesstempo.com/gamedb/opening/1361","white",11,"E42","27-06-2017","2363","2442",0.273,0.273,0.455,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 c5 5.Ce2 cxd4 6.exd4 O-O 7.c5"
"Nimzo-Indian Defense, Kmoch Variation","https://old.chesstempo.com/gamedb/opening/1362","white",4707,"E20","22-03-2021","2322","2289",0.391,0.264,0.344,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.f3"
"Nimzo-Indian Defense, Leningrad Variation","https://old.chesstempo.com/gamedb/opening/1363","white",2813,"E30","19-03-2021","2173","2157",0.321,0.264,0.415,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Ag5"
"Nimzo-Indian Defense, Normal Line","https://old.chesstempo.com/gamedb/opening/1366","white",1555,"E40","31-01-2021","2292","2253",0.463,0.262,0.275,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3"
"Nimzo-Indian Defense, Normal Variation, Bernstein Defense","https://old.chesstempo.com/gamedb/opening/1369","white",1481,"E59","08-03-2021","2412","2383",0.327,0.394,0.279,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Cf3 d5 6.Ad3 c5 7.O-O Cc6 8.a3 Axc3 9.bxc3 dxc4 10.Axc4"
"Nimzo-Indian Defense, Normal Variation, Bernstein Defense, Exchange Line","https://old.chesstempo.com/gamedb/opening/1368","white",1125,"E58","24-02-2020","2421","2384",0.317,0.382,0.3,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Cf3 d5 6.Ad3 c5 7.O-O Cc6 8.a3 Axc3 9.bxc3"
"Nimzo-Indian Defense, Normal Variation, Bishop Attack","https://old.chesstempo.com/gamedb/opening/1371","white",2251,"E47","10-03-2021","2361","2322",0.368,0.326,0.306,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Ad3"
"Nimzo-Indian Defense, Normal Variation, Botvinnik System","https://old.chesstempo.com/gamedb/opening/1373","white",751,"E49","23-01-2021","2400","2371",0.38,0.302,0.318,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Ad3 d5 6.a3 Axc3+ 7.bxc3"
"Nimzo-Indian Defense, Normal Variation, Gligoric System, Exchange at c4","https://old.chesstempo.com/gamedb/opening/1378","white",1270,"E54","16-02-2021","2459","2434",0.317,0.454,0.228,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Cf3 d5 6.Ad3 c5 7.O-O dxc4 8.Axc4"
"Nimzo-Indian Defense, Normal Variation, Saemisch Deferred","https://old.chesstempo.com/gamedb/opening/1383","white",239,"E51","12-10-2020","2309","2300",0.322,0.305,0.372,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Cf3 d5 6.a3"
"Nimzo-Indian Defense, Ragozin Defense","https://old.chesstempo.com/gamedb/opening/1387","white",336,"E46","09-02-2020","2390","2341",0.405,0.339,0.256,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 Cc6 5.Cf3 O-O 6.Ad3 d5 7.O-O"
"Nimzo-Indian Defense, Reshevsky Variation","https://old.chesstempo.com/gamedb/opening/1389","white",4970,"E46","12-03-2021","2334","2320",0.316,0.339,0.345,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.e3 O-O 5.Ce2"
"Nimzo-Indian Defense, Romanishin Variation","https://old.chesstempo.com/gamedb/opening/1390","white",324,"E20","30-12-2019","2416","2366",0.426,0.374,0.201,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Cf3 c5 5.g3 O-O 6.Ag2"
"Nimzo-Indian Defense, Romanishin Variation","https://old.chesstempo.com/gamedb/opening/1391","white",1732,"E20","31-01-2021","2392","2362",0.347,0.369,0.284,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.g3"
"Nimzo-Indian Defense, Saemisch Variation","https://old.chesstempo.com/gamedb/opening/1393","white",404,"E28","08-02-2020","2343","2300",0.394,0.26,0.346,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.a3 Axc3+ 5.bxc3 O-O 6.e3"
"Nimzo-Indian Defense, Saemisch Variation","https://old.chesstempo.com/gamedb/opening/1395","white",735,"E25","12-03-2020","2363","2326",0.374,0.288,0.337,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.a3 Axc3+ 5.bxc3 c5 6.f3 d5 7.cxd5"
"Nimzo-Indian Defense, Saemisch Variation","https://old.chesstempo.com/gamedb/opening/1396","white",632,"E26","09-09-2020","2321","2282",0.405,0.228,0.367,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.a3 Axc3+ 5.bxc3 c5 6.e3"
"Nimzo-Indian Defense, Saemisch Variation, Accelerated","https://old.chesstempo.com/gamedb/opening/1398","white",1698,"E24","20-02-2021","2156","2137",0.332,0.227,0.442,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.a3 Axc3+ 5.bxc3"
"Nimzo-Indian Defense, Saemisch Variation, Keres Variation","https://old.chesstempo.com/gamedb/opening/1400","white",1040,"E25","08-03-2021","2436","2404",0.33,0.436,0.235,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.a3 Axc3+ 5.bxc3 c5 6.f3 d5 7.cxd5 Cxd5 8.dxc5"
"Nimzo-Indian Defense, Spielmann Variation","https://old.chesstempo.com/gamedb/opening/1403","white",594,"E22","10-03-2021","2280","2250",0.37,0.283,0.347,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Db3"
"Nimzo-Indian Defense, Three Knights Variation","https://old.chesstempo.com/gamedb/opening/1408","white",3640,"E21","15-02-2021","2333","2309",0.376,0.343,0.281,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Cf3"
"Nimzo-Indian Defense, Three Knights Variation, Duchamp Variation, Modern Line","https://old.chesstempo.com/gamedb/opening/2915","white",659,"E21","20-02-2021","2478","2457",0.398,0.366,0.237,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Cf3 b6 5.Ag5 Ab7 6.Cd2"
"Nimzo-Indian Defense, Three Knights Variation, Korchnoi Variation","https://old.chesstempo.com/gamedb/opening/1409","white",86,"E21","21-01-2020","2256","2262",0.267,0.267,0.465,"1.d4 Cf6 2.c4 e6 3.Cc3 Ab4 4.Cf3 c5 5.d5"
"Nimzo-Larsen Attack, General","https://old.chesstempo.com/gamedb/opening/1414","white",1213,"A01","26-12-2020","2167","2165",0.401,0.261,0.337,"1.b3"
"Nimzo-Larsen Attack, Graz Attack","https://old.chesstempo.com/gamedb/opening/2847","white",4,"A00","14-07-2012","1850","1603",0.25,0.25,0.5,"1.b3 d5 2.Aa3"
"Nimzo-Larsen Attack, Norfolk Gambit 2","https://old.chesstempo.com/gamedb/opening/1418","white",26,"A01","27-12-2019","2253","2265",0.385,0.115,0.5,"1.Cf3 d5 2.b3 c5 3.e4"
"Nimzo-Larsen Attack, Ringelbach Gambit","https://old.chesstempo.com/gamedb/opening/1420","white",29,"A01","16-11-2019","2274","2165",0.69,0.103,0.207,"1.b3 e6 2.Ab2 f5 3.e4"
"Nimzo-Larsen Attack, Spike Variation","https://old.chesstempo.com/gamedb/opening/1421","white",45,"A01","28-08-2019","2173","2172",0.311,0.267,0.422,"1.b3 Cf6 2.Ab2 g6 3.g4"
"Nimzowitsch Defense, Declined Variation","https://old.chesstempo.com/gamedb/opening/1427","white",1111,"B00","19-01-2021","2158","2118",0.454,0.209,0.338,"1.e4 Cc6 2.Cf3"
"Nimzowitsch Defense, El Columpio Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/1430","white",31,"B00","09-02-2020","2338","2222",0.742,0.129,0.129,"1.e4 Cc6 2.Cf3 Cf6 3.e5 Cg4 4.d4 d6 5.h3 Ch6 6.exd6"
"Nimzowitsch Defense, El Columpio Defense, Pin Variation","https://old.chesstempo.com/gamedb/opening/1431","white",33,"B00","25-11-2018","2313","2240",0.545,0.273,0.182,"1.e4 Cc6 2.Cf3 Cf6 3.e5 Cg4 4.d4 d6 5.h3 Ch6 6.Ab5"
"Nimzowitsch Defense, Hornung Gambit","https://old.chesstempo.com/gamedb/opening/2752","white",4,"B00","30-04-2014","2165","1895",0.25,0.25,0.5,"1.e4 Cc6 2.d4 d5 3.Ae3"
"Nimzowitsch Defense, Kennedy Variation, Keres Attack","https://old.chesstempo.com/gamedb/opening/1440","white",65,"B00","28-12-2018","2342","2250",0.508,0.2,0.292,"1.e4 Cc6 2.d4 e5 3.dxe5 Cxe5 4.Cc3"
"Nimzowitsch Defense, Kennedy Variation, Linksspringer Variation","https://old.chesstempo.com/gamedb/opening/1441","white",721,"B00","01-03-2021","2077","2062",0.395,0.184,0.42,"1.e4 Cc6 2.d4 e5 3.d5"
"Nimzowitsch Defense, Kennedy Variation, Paulsen Attack","https://old.chesstempo.com/gamedb/opening/1443","white",284,"B00","06-03-2020","2277","2229",0.394,0.282,0.324,"1.e4 Cc6 2.d4 e5 3.dxe5 Cxe5 4.Cf3"
"Nimzowitsch Defense, Lean Variation, Colorado Counter Accepted","https://old.chesstempo.com/gamedb/opening/1446","white",324,"B00","11-01-2021","2211","2182",0.509,0.194,0.296,"1.e4 Cc6 2.Cf3 f5 3.exf5"
"Nimzowitsch Defense, Pseudo-Spanish Variation","https://old.chesstempo.com/gamedb/opening/1451","white",62,"B00","30-11-2019","2156","2127",0.387,0.258,0.355,"1.e4 Cc6 2.Ab5"
"Nimzowitsch Defense, Scandinavian Variation, Advance Variation","https://old.chesstempo.com/gamedb/opening/1454","white",1339,"B00","19-03-2021","2083","2038",0.402,0.204,0.394,"1.e4 Cc6 2.d4 d5 3.e5"
"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation","https://old.chesstempo.com/gamedb/opening/1455","white",168,"B00","19-12-2019","2241","2187",0.458,0.238,0.304,"1.e4 Cc6 2.d4 d5 3.Cc3"
"Nimzowitsch Defense, Scandinavian Variation, Bogoljubow Variation, Richter Gambit","https://old.chesstempo.com/gamedb/opening/1460","white",6,"B00","14-07-2018","2444","2345",0.667,0.167,0.167,"1.e4 Cc6 2.d4 d5 3.Cc3 dxe4 4.d5 Cb8 5.f3"
"Nimzowitsch Defense, Scandinavian Variation, Exchange Variation, Marshall Gambit","https://old.chesstempo.com/gamedb/opening/1463","white",9,"B00","21-03-2015","1981","2029",0.222,0.111,0.667,"1.e4 Cc6 2.d4 d5 3.exd5 Dxd5 4.Cc3"
"Nimzowitsch-Larsen Attack, General","https://old.chesstempo.com/gamedb/opening/1466","white",4892,"A06","26-02-2021","2230","2215",0.374,0.319,0.307,"1.Cf3 d5 2.b3"
"Old Indian Defense, Janowski Variation, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/2810","white",208,"A53","13-11-2019","2458","2352",0.49,0.308,0.202,"1.d4 Cf6 2.c4 d6 3.Cc3 Af5 4.g3"
"Old Indian Defense, Janowski Variation, Fianchetto Variation","https://old.chesstempo.com/gamedb/opening/2811","white",477,"A53","02-10-2020","2345","2282",0.415,0.3,0.285,"1.d4 Cf6 2.c4 d6 3.Cc3 Af5 4.Cf3"
"Old Indian Defense, Janowski Variation, Grinberg Gambit","https://old.chesstempo.com/gamedb/opening/1470","white",7,"A53","19-12-2007","2334","2360",0.286,0.286,0.429,"1.d4 Cf6 2.c4 d6 3.Cc3 Af5 4.e4"
"Old Indian Defense, Janowski Variation, Main Line","https://old.chesstempo.com/gamedb/opening/2809","white",317,"A53","22-08-2020","2295","2280",0.331,0.296,0.372,"1.d4 Cf6 2.c4 d6 3.Cc3 Af5 4.f3"
"Old Indian Defense, Normal Variation","https://old.chesstempo.com/gamedb/opening/1471","white",3846,"A55","16-02-2021","2349","2297",0.449,0.302,0.248,"1.d4 Cf6 2.c4 d6 3.Cc3 e5 4.Cf3 Cbd7 5.e4"
"Old Indian Defense, Two Knights Variation","https://old.chesstempo.com/gamedb/opening/1473","white",1347,"A54","12-02-2021","2400","2341",0.461,0.293,0.246,"1.d4 Cf6 2.c4 d6 3.Cc3 e5 4.Cf3"
"Old Indian, Czech Variation","https://old.chesstempo.com/gamedb/opening/2899","white",1057,"A53","10-03-2021","2330","2272",0.429,0.314,0.257,"1.d4 Cf6 2.c4 d6 3.Cc3 c6 4.Cf3"
"Owen Defense, Smith Gambit","https://old.chesstempo.com/gamedb/opening/1479","white",15,"B00","18-12-2019","1867","1833",0.333,0.133,0.533,"1.e4 b6 2.d4 Ab7 3.Cf3"
"Philidor Defense, Bird Gambit","https://old.chesstempo.com/gamedb/opening/1482","white",27,"C41","19-08-2019","1861","1932",0.37,0.185,0.444,"1.e4 e5 2.Cf3 d6 3.d4 exd4 4.c3"
"Philidor Defense, Exchange Variation","https://old.chesstempo.com/gamedb/opening/1485","white",525,"C41","25-10-2020","1971","1927",0.638,0.171,0.191,"1.e4 e5 2.Cf3 d6 3.d4 exd4 4.Cxd4"
"Philidor Defense, General","https://old.chesstempo.com/gamedb/opening/1487","white",855,"C41","06-03-2020","2082","1993",0.694,0.156,0.151,"1.e4 e5 2.Cf3 d6 3.d4"
"Philidor Defense, Hanham Variation, Delmar Variation","https://old.chesstempo.com/gamedb/opening/1490","white",81,"C41","17-11-2019","2387","2216",0.568,0.259,0.173,"1.e4 e5 2.Cf3 d6 3.d4 Cd7 4.Ac4 c6 5.c3"
"Philidor Defense, Hanham Variation, Krause Variation","https://old.chesstempo.com/gamedb/opening/1491","white",341,"C41","10-12-2020","2239","2181",0.481,0.22,0.299,"1.e4 e5 2.Cf3 d6 3.d4 Cd7 4.Ac4 c6 5.O-O"
"Philidor Defense, Hanham Variation, Schlechter Variation","https://old.chesstempo.com/gamedb/opening/1492","white",289,"C41","22-10-2020","2248","2166",0.471,0.246,0.284,"1.e4 e5 2.Cf3 d6 3.d4 Cd7 4.Ac4 c6 5.Cc3"
"Philidor Defense, Hanham Variation, Steiner Variation","https://old.chesstempo.com/gamedb/opening/1494","white",249,"C41","27-11-2019","2393","2290",0.578,0.241,0.181,"1.e4 e5 2.Cf3 d6 3.d4 Cd7 4.Ac4 c6 5.O-O Ae7 6.dxe5"
"Philidor Defense, Lion Variation, Bishop Sac","https://old.chesstempo.com/gamedb/opening/1498","white",158,"C41","11-03-2020","2011","2059",0.316,0.089,0.595,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.Cc3 Cbd7 5.Ac4 Ae7 6.Axf7+"
"Philidor Defense, Lion Variation, Delayed Bishop Sac","https://old.chesstempo.com/gamedb/opening/1499","white",58,"C41","28-01-2020","2188","2111",0.362,0.31,0.328,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.Cc3 Cbd7 5.Ac4 Ae7 6.dxe5 dxe5 7.Axf7+"
"Philidor Defense, Lion Variation, Forcing Line","https://old.chesstempo.com/gamedb/opening/1500","white",147,"C41","01-03-2020","2171","2158",0.388,0.191,0.422,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.Cc3 Cbd7 5.Ac4 Ae7 6.Cg5 O-O 7.Axf7+ Txf7 8.Ce6"
"Philidor Defense, Lion Variation, Shirov Gambit","https://old.chesstempo.com/gamedb/opening/2909","white",777,"C41","20-01-2021","2347","2271",0.489,0.223,0.288,"1.e4 e5 2.Cf3 d6 3.d4 Cd7 4.Cc3 Cgf6 5.g4"
"Philidor Defense, Morphy Gambit","https://old.chesstempo.com/gamedb/opening/1506","white",131,"C41","28-12-2019","1993","1972",0.511,0.168,0.321,"1.e4 e5 2.Cf3 d6 3.d4 exd4 4.Ac4"
"Philidor Defense, Nimzowitsch Variation","https://old.chesstempo.com/gamedb/opening/1507","white",172,"C41","07-03-2020","2161","2126",0.448,0.25,0.302,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.dxe5"
"Philidor Defense, Nimzowitsch Variation, Klein Variation","https://old.chesstempo.com/gamedb/opening/1509","white",52,"C41","28-01-2020","2289","2202",0.5,0.269,0.231,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.Ac4"
"Philidor Defense, Nimzowitsch Variation, Rellstab Variation","https://old.chesstempo.com/gamedb/opening/1510","white",261,"C41","22-02-2020","2430","2313",0.529,0.326,0.146,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.dxe5 Cxe4 5.Dd5"
"Philidor Defense, Nimzowitsch Variation, Sokolsky Variation","https://old.chesstempo.com/gamedb/opening/1511","white",36,"C41","25-09-2016","2283","2303",0.278,0.444,0.278,"1.e4 e5 2.Cf3 d6 3.d4 Cf6 4.dxe5 Cxe4 5.Cbd2"
"Philidor Defense, Philidor Countergambit, Zukertort Variation","https://old.chesstempo.com/gamedb/opening/1513","white",96,"C41","20-01-2020","2242","2115",0.635,0.146,0.219,"1.e4 e5 2.Cf3 d6 3.d4 f5 4.Cc3"
"Pirc Defense, 150 Attack","https://old.chesstempo.com/gamedb/opening/1515","white",1571,"B07","20-03-2021","2348","2295",0.448,0.264,0.288,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ae3 c6 5.Dd2"
"Pirc Defense, 150 Attack, Sveshnikov-Jansa Attack","https://old.chesstempo.com/gamedb/opening/1517","white",740,"B07","11-02-2021","2398","2338",0.489,0.269,0.242,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ae3 c6 5.h3"
"Pirc Defense, Austrian Attack","https://old.chesstempo.com/gamedb/opening/1518","white",1298,"B09","10-03-2021","2197","2124",0.522,0.218,0.26,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.f4"
"Pirc Defense, Austrian Attack, Kurajica Variation","https://old.chesstempo.com/gamedb/opening/1521","white",1019,"B09","28-02-2020","2305","2264",0.429,0.233,0.339,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.f4 Ag7 5.Cf3 O-O 6.Ae3"
"Pirc Defense, Austrian Attack, Ljubojevic Variation","https://old.chesstempo.com/gamedb/opening/1522","white",117,"B09","27-01-2020","2159","2078",0.461,0.282,0.256,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.f4 Ag7 5.Ac4"
"Pirc Defense, Austrian Attack, Unzicker Attack","https://old.chesstempo.com/gamedb/opening/1523","white",862,"B09","15-03-2021","2310","2251",0.427,0.303,0.27,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.f4 Ag7 5.Cf3 O-O 6.e5"
"Pirc Defense, Austrian Attack, Unzicker Attack, Bronstein Variation","https://old.chesstempo.com/gamedb/opening/2910","white",285,"B09","07-03-2020","2317","2249",0.453,0.246,0.302,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.f4 Ag7 5.Cf3 O-O 6.e5 Cfd7 7.h4"
"Pirc Defense, Austrian Attack, Weiss Variation","https://old.chesstempo.com/gamedb/opening/1524","white",4997,"B09","01-03-2021","2299","2254",0.412,0.288,0.301,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.f4 Ag7 5.Cf3 O-O 6.Ad3"
"Pirc Defense, Bayonet Attack","https://old.chesstempo.com/gamedb/opening/1525","white",772,"B07","29-02-2020","2283","2233",0.448,0.238,0.314,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ae2 Ag7 5.h4"
"Pirc Defense, Byrne Variation","https://old.chesstempo.com/gamedb/opening/1526","white",3919,"B07","28-03-2021","2279","2220",0.491,0.236,0.273,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ag5"
"Pirc Defense, Chinese Variation","https://old.chesstempo.com/gamedb/opening/1527","white",221,"B07","26-02-2020","2217","2163",0.511,0.154,0.335,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ae2 Ag7 5.g4"
"Pirc Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/1528","white",708,"B07","09-07-2020","2111","2086",0.39,0.227,0.383,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ae2"
"Pirc Defense, Classical Variation","https://old.chesstempo.com/gamedb/opening/1529","white",343,"B07","06-03-2020","2130","2048",0.452,0.274,0.274,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Cf3"
"Pirc Defense, Classical Variation, Quiet System","https://old.chesstempo.com/gamedb/opening/1530","white",3141,"B08","17-02-2021","2273","2229",0.366,0.327,0.307,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Cf3 Ag7 5.Ae2"
"Pirc Defense, Classical Variation, Schlechter Variation","https://old.chesstempo.com/gamedb/opening/1534","white",3892,"B08","28-03-2021","2237","2197",0.382,0.308,0.31,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Cf3 Ag7 5.h3"
"Pirc Defense, Kholmov System","https://old.chesstempo.com/gamedb/opening/1537","white",1257,"B07","28-03-2021","2078","2021",0.434,0.204,0.363,"1.e4 d6 2.d4 Cf6 3.Cc3 g6 4.Ac4"
"Pirc Defense, Roscher Gambit","https://old.chesstempo.com/gamedb/opening/1538","white",39,"B07","19-01-2019","1917","1927",0.308,0.256,0.436,"1.e4 d6 2.d4 Cf6 3.Cf3"
"Polish Defense, Spassky Gambit, Accepted","https://old.chesstempo.com/gamedb/opening/1540","white",102,"A40","02-10-2020","2358","2252",0.5,0.284,0.216,"1.d4 b5 2.e4 Ab7 3.Axb5"
"Polish Opening, Bugayev Advance Variation","https://old.chesstempo.com/gamedb/opening/2874","white",99,"A00","07-11-2018","2164","2111",0.384,0.303,0.313,"1.b4 e5 2.Ab2 f6 3.b5"
"Polish Opening, Bugayev Attack","https://old.chesstempo.com/gamedb/opening/1542","white",377,"A00","07-12-2019","2082","2070",0.4,0.209,0.39,"1.b4 e5 2.a3"
"Polish Opening, General","https://old.chesstempo.com/gamedb/opening/1543","white",3607,"A00","26-02-2021","1995","1990",0.371,0.204,0.425,"1.b4"
"Polish Opening, King's Indian Variation, Schiffler Attack","https://old.chesstempo.com/gamedb/opening/2878","white",15,"A00","27-01-2020","1939","2003",0.4,0.133,0.467,"1.b4 Cf6 2.Ab2 g6 3.e4"
"Polish Opening, King's Indian Variation, Sokolsky Attack","https://old.chesstempo.com/gamedb/opening/2879","white",385,"A00","13-03-2021","2302","2270",0.382,0.299,0.319,"1.b4 Cf6 2.Ab2 g6 3.c4 Ag7 4.e3 d6 5.Cf3 O-O 6.d4"
"Polish Opening, Rooks Swap Line","https://old.chesstempo.com/gamedb/opening/2883","white",32,"A00","29-09-2020","2165","2156",0.344,0.344,0.313,"1.b4 Cf6 2.Ab2 e6 3.b5 a6 4.a4 axb5 5.axb5 Txa1 6.Axa1"
"Polish Opening, Schiffler-Sokolsky Variation","https://old.chesstempo.com/gamedb/opening/2881","white",350,"A00","16-10-2019","2071","2051",0.394,0.237,0.369,"1.b4 Cf6 2.Ab2 d5 3.e3 e6 4.b5"
"Polish Opening, SchÃ¼hler Gambit","https://old.chesstempo.com/gamedb/opening/1549","white",13,"A00","08-08-2018","2439","2299",0.539,0.308,0.154,"1.b4 c6 2.Ab2 a5 3.b5 cxb5 4.e4"
"Polish Opening, Tartakower Gambit","https://old.chesstempo.com/gamedb/opening/1550","white",138,"A00","09-03-2020","2137","2118",0.464,0.123,0.413,"1.b4 e5 2.Ab2 f6 3.e4"
"Polish Opening, Zukertort System","https://old.chesstempo.com/gamedb/opening/1591","white",367,"A04","28-02-2021","2165","2179",0.368,0.289,0.343,"1.b4 Cf6 2.Cf3"
"Ponziani Opening, General","https://old.chesstempo.com/gamedb/opening/1555","white",659,"C44","09-02-2021","2121","2099",0.445,0.229,0.326,"1.e4 e5 2.Cf3 Cc6 3.c3"
"Ponziani Opening, Neumann Gambit","https://old.chesstempo.com/gamedb/opening/1558","white",32,"C44","21-04-2019","1496","1541",0.25,0.094,0.656,"1.e4 e5 2.Cf3 Cc6 3.c3 Cf6 4.Ac4"
"Ponziani Opening, Spanish Variation","https://old.chesstempo.com/gamedb/opening/1560","white",91,"C44","17-11-2019","2106","2109",0.308,0.253,0.44,"1.e4 e5 2.Cf3 Cc6 3.c3 d5 4.Ab5"
"Ponziani Opening, Spanish Variation, Harrwitz Attack, Nikitin Gambit","https://old.chesstempo.com/gamedb/opening/1561","white",90,"C44","03-11-2020","2225","2221",0.356,0.256,0.389,"1.e4 e5 2.Cf3 Cc6 3.c3 d5 4.Ab5 dxe4 5.Cxe5 Dd5 6.Da4"
"Portuguese Opening, General","https://old.chesstempo.com/gamedb/opening/1564","white",113,"C20","09-03-2020","2101","2110",0.372,0.257,0.372,"1.e4 e5 2.Ab5"
"Portuguese Opening, Miguel Gambit","https://old.chesstempo.com/gamedb/opening/1565","white",1,"C20","1993","-","-",0,1,0,"1.e4 e5 2.Ab5 Ac5 3.b4"
"Portuguese Opening, Portuguese Gambit","https://old.chesstempo.com/gamedb/opening/1566","white",10,"C20","05-08-2014","2002","2124",0.2,0.1,0.7,"1.e4 e5 2.Ab5 Cf6 3.d4"
"Pterodactyl Defense, Eastern, Anhanguera","https://old.chesstempo.com/gamedb/opening/117","white",192,"B06","15-03-2020","2146","2100",0.344,0.255,0.401,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.Ae3"
"Pterodactyl Defense, Eastern, Benoni","https://old.chesstempo.com/gamedb/opening/145","white",574,"B06","13-12-2020","2311","2268",0.469,0.27,0.261,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.d5"
"Pterodactyl Defense, Eastern, Rhamporhynchus","https://old.chesstempo.com/gamedb/opening/109","white",64,"B06","18-12-2020","2246","2178",0.547,0.125,0.328,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.dxc5"
"Pterodactyl Defense, Miscellany, Queen Pterodactyl, Quiet","https://old.chesstempo.com/gamedb/opening/2804","white",268,"A40","06-03-2020","2141","2123",0.295,0.258,0.448,"1.d4 g6 2.c4 Ag7 3.Cc3 c5 4.e3"
"Pterodactyl Defense, Sicilian, Anhanguera","https://old.chesstempo.com/gamedb/opening/12","white",156,"B06","30-01-2020","2242","2201",0.372,0.269,0.359,"1.e4 g6 2.d4 Ag7 3.Cc3 c5 4.Cf3 Da5 5.Ae3"
