Short name,Country
"Nijboer, Friso","Netherlands"
"Adianto, Utut","Indonesia"
"Andersson, Ulf","Sweden"
"Ehlvest, Jaan","Estonia"
"Aronian, Levon","Armenia"
"Macieja, Bartlomiej","Poland"
"Al Modiahki, Mohamad","Qatar"
"Wahls, Matthias","Germany"
"Chiburdanidze, Maia","Georgia"
"Nielsen, Peter Heine","Denmark"
"Aleksandrov, Aleksej","Belarus"
"Kasimdzhanov, Rustam","Uzbekistan"
"Kobalija, Mihail","Moldova"
"Nisipeanu, Liviu Dieter","Romania"
"Tkachiev, Vladislav","France"
"Barua, Dibyendu","India"
"Lautier, Joel","France"
"Bouaziz, Slim","Tunisia"
"Gurevich, Dmitry","United"
"Shaked, Tal","United"
"Antonio, Rogelio Jr","Philippines"
"Sokolov, Ivan","Netherlands"
"Feldman, Vladimir","Ukraine"
"Akesson, Ralf","Sweden"
"Ivanov, Alexander","United"
"Spraggett, Kevin","Canada"
"Psakhis, Lev","Israel"
"Asrian, Karen","Armenia"
"Ricardi, Pablo","Argentina"
"Milov, Vadim","Switzerland"
"Topalov, Veselin","Bulgaria"
"Sadler, Matthew","England"
"Leko, Peter","Hungary"
"Fedorov, Alexei","Belarus"
"Beliavsky, Alexander G","Slovakia"
"Adams, Michael","England"
"Timman, Jan H","Netherlands"
"Hamdouchi, Hichem","Morocco"
"Georgiev, Kiril","Bulgaria"
"Shirov, Alexei","Latvia"
"Smirin, Ilia","Israel"
"Almasi, Zoltan","Hungary"
"Ivanchuk, Vassily","Ukraine"
"Short, Nigel D","England"
"Leitao, Rafael","Brazil"
"Movsesian, Sergei","Slovakia"
"Kortschnoj, Viktor","Switzerland"
"Polgar, Judit","Hungary"
"Krasenkow, Michal","Poland"
"Azmaiparashvili, Zurab","Georgia"
"Wells, Peter K","England"
"Wang Zili","China"
"Istratescu, Andrei","Romania"
"Hracek, Zbynek","Czech"
"Bacrot, Etienne","France"
"Miladinovic, Igor","Serbia"
"Sulskis, Sarunas","Lithuania"
"Illescas Cordoba, Miguel","Spain"
"Hernandez, Gilberto","Mexico"
"Murshed, Niaz","Bangladesh"
"Portisch, Lajos","Hungary"
"Oll, Lembit","Estonia"
"Morovic Fernandez, Ivan","Chile"
"Anastasian, Ashot","Armenia"
"Garcia, Gildardo","Colombia"
"Bologan, Viktor","Moldova"
"Alterman, Boris","Israel"
"Hjartarson, Johann","Iceland"
"Petursson, Margeir","Iceland"
"Hoeksema, Hendrik Pieter","Netherlands"
"Hansen, Curt","Denmark"
"Slobodjan, Roman","Serbia"
"Luther, Thomas","Germany"
"Chernin, Alexander","Israel"
"Gretarsson, Helgi Ass","Iceland"
"Malaniuk, Vladimir P","Ukraine"
"Kurajica, Bojan","Bosnia"
"Van der Wiel, John TH","Netherlands"
"Christiansen, Larry Mark","United"
"Seirawan, Yasser","United"
"Granda Zuniga, Julio E","Peru"
"Kindermann, Stefan","Germany"
"Sokolov, Andrei","Bosnia"
"Jussupow, Artur","Germany"
"Vaganian, Rafael A","Armenia"
"Van Wely, Loek","Netherlands"
"Kaidanov, Grigory S","United"
"Nikolic, Predrag","Bosnia"
"Piket, Jeroen","Netherlands"
"Van der Sterren, Paul","Netherlands"
"Fischer, Robert James","United"
"Petrosian, Tigran V","Armenia"
"Tal, Mihail","Latvia"
"Bronstein, David I","Ukraine"
"Reshevsky, Samuel Herman","United"
"Keres, Paul","Estonia"
"Euwe, Max","Netherlands"
"Capablanca, Jose Raul","Cuba"
"Lasker, Emanuel","Germany"
"Schlechter, Carl","Austria-Hungary/Austria"
"Janowsky, Dawid Markelowicz","Poland"
"Tarrasch, Siegbert","Germany"
"Marshall, Frank James","United"
"Steinitz, William","Austria/Austria-Hungary"
"Gunsberg, Isidor","United"
"Zukertort, Johannes Hermann","Poland"
